hari,tanggal,jam,minggu,tema_mingguan,format,pilar,hook_di_gambar,arahan_visual,cta_caption
13,2026-08-17,19:17 WIB,2,Bening belum tentu selesai,Single Foto,Soft Sell,Kualitas lebih mudah dijaga saat prosesnya terbaca.,"Catatan servis di dekat mesin, tanpa data sensitif.","Kalau waktunya tepat, mari bicarakan kebutuhannya."
14,2026-08-18,19:17 WIB,2,Bening belum tentu selesai,Carousel Text Only,Text Only,BENING ITU TERLIHAT. / PROSES TIDAK. / KEDUANYA,4 slide tipografi cinematic minimalist; tanpa foto; logo identik di kanan bawah.,"Geser, lalu simpan bagian yang paling terasa."
15,2026-08-19,19:17 WIB,3,Mengenal filtrasi,Single Foto,Edukasi,Filter bekerja tanpa banyak suara.,Close-up housing filter dengan cahaya samping.,Simpan kalau suatu hari ingin mengeceknya lagi.
16,2026-08-20,19:17 WIB,3,Mengenal filtrasi,Carousel Foto,Edukasi,"Satu sistem, beberapa tahap, satu tujuan.",Tahapan filtrasi ditampilkan lewat foto detail.,Simpan kalau suatu hari ingin mengeceknya lagi.
17,2026-08-21,19:17 WIB,3,Mengenal filtrasi,Single Foto,Produk,Komponen yang tepat membuat alur lebih masuk akal.,Susunan komponen sebelum pemasangan.,Detail kebutuhannya bisa dibicarakan pelan-pelan.
18,2026-08-22,19:17 WIB,3,Mengenal filtrasi,Carousel Foto,Edukasi,"Kapan filter perlu diperiksa, bukan sekadar diganti.",Before-after kondisi komponen secara wajar.,Simpan kalau suatu hari ingin mengeceknya lagi.
19,2026-08-23,19:17 WIB,3,Mengenal filtrasi,Single Foto,Human,Mendengar mesin kadang sama pentingnya dengan melihatnya.,Teknisi fokus mengamati unit.,Begini kurang lebih keseharian kami.
20,2026-08-24,19:17 WIB,3,Mengenal filtrasi,Single Foto,Layanan,Setiap lokasi punya kebutuhan aliran yang berbeda.,Teknisi mengukur ruang pemasangan.,Ceritakan kondisi ruang dan kebutuhannya.
21,2026-08-25,19:17 WIB,3,Mengenal filtrasi,Carousel Text Only,Text Only,FILTRASI BUKAN / SATU BENDA. / IA ADALAH,4 slide tipografi cinematic minimalist; tanpa foto; logo identik di kanan bawah.,"Geser, lalu simpan bagian yang paling terasa."
22,2026-08-26,19:17 WIB,4,Perawatan berkala,Single Foto,Edukasi,Merawat sebelum bermasalah selalu terasa lebih ringan.,Alat servis tertata di meja.,Simpan kalau suatu hari ingin mengeceknya lagi.
23,2026-08-27,19:17 WIB,4,Perawatan berkala,Carousel Foto,Edukasi,Tanda kecil yang sebaiknya tidak diabaikan.,"Gauge, aliran, suara mesin, kondisi sambungan.",Simpan kalau suatu hari ingin mengeceknya lagi.
24,2026-08-28,19:17 WIB,4,Perawatan berkala,Single Foto,Human,Ada ketelitian di setiap sambungan.,Tangan teknisi mengencangkan fitting.,Begini kurang lebih keseharian kami.
25,2026-08-29,19:17 WIB,4,Perawatan berkala,Carousel Foto,Layanan,Gambaran singkat kunjungan perawatan.,"Datang, periksa, bersihkan, uji.",Ceritakan kondisi ruang dan kebutuhannya.
26,2026-08-30,19:17 WIB,4,Perawatan berkala,Single Foto,Brand,Catatan rapi membantu mesin bekerja lebih tenang.,Logbook servis dan pena.,Simpan sebagai pengingat kecil.
27,2026-08-31,19:17 WIB,4,Perawatan berkala,Single Foto,Soft Sell,Jadwal sederhana bisa mencegah jeda yang panjang.,Kalender servis dengan satu tanggal ditandai.,"Kalau waktunya tepat, mari bicarakan kebutuhannya."
28,2026-09-01,19:17 WIB,4,Perawatan berkala,Carousel Text Only,Text Only,JANGAN TUNGGU / SAMPAI BERHENTI. / RAWAT SAAT,4 slide tipografi cinematic minimalist; tanpa foto; logo identik di kanan bawah.,"Geser, lalu simpan bagian yang paling terasa."
29,2026-09-02,19:17 WIB,5,Merancang depot,Single Foto,Layanan,Ruang terbatas tetap bisa ditata dengan cermat.,Sudut depot kecil dengan komposisi rapi.,Ceritakan kondisi ruang dan kebutuhannya.
30,2026-09-03,19:17 WIB,5,Merancang depot,Carousel Foto,Layanan,Dari ruang kosong menuju alur kerja yang jelas.,"Survei, sketsa, pemasangan, hasil.",Ceritakan kondisi ruang dan kebutuhannya.
31,2026-09-04,19:17 WIB,5,Merancang depot,Single Foto,Edukasi,Posisi komponen memengaruhi cara tim bekerja.,Pipa dan unit tersusun ergonomis.,Simpan kalau suatu hari ingin mengeceknya lagi.
32,2026-09-05,19:17 WIB,5,Merancang depot,Carousel Foto,Edukasi,Tiga pertanyaan sebelum menentukan instalasi.,Foto lokasi dengan overlay pertanyaan singkat.,Simpan kalau suatu hari ingin mengeceknya lagi.
33,2026-09-06,19:17 WIB,5,Merancang depot,Single Foto,Human,"Mengukur dua kali, memasang sekali.",Teknisi menggunakan meteran.,Begini kurang lebih keseharian kami.
34,2026-09-07,19:17 WIB,5,Merancang depot,Single Foto,Soft Sell,"Instalasi yang baik mengikuti kebutuhan, bukan sekadar kebiasaan.",Teknisi berdiskusi santai di lokasi.,"Kalau waktunya tepat, mari bicarakan kebutuhannya."
35,2026-09-08,19:17 WIB,5,Merancang depot,Carousel Text Only,Text Only,RUANG BOLEH KECIL. / ALURNYA / TETAP HARUS,4 slide tipografi cinematic minimalist; tanpa foto; logo identik di kanan bawah.,"Geser, lalu simpan bagian yang paling terasa."
36,2026-09-09,19:17 WIB,6,Tutup galon dan detail produk,Single Foto,Produk,Kecil bentuknya. Besar perannya.,Tutup galon tunggal dengan bayangan dramatis.,Detail kebutuhannya bisa dibicarakan pelan-pelan.
37,2026-09-10,19:17 WIB,6,Tutup galon dan detail produk,Carousel Foto,Produk,Melihat tutup galon lebih dekat.,"Bentuk, warna, sisi, dan pemakaian.",Detail kebutuhannya bisa dibicarakan pelan-pelan.
38,2026-09-11,19:17 WIB,6,Tutup galon dan detail produk,Single Foto,Produk,"Rapi saat disimpan, mudah saat dibutuhkan.",Stok tutup galon tertata natural.,Detail kebutuhannya bisa dibicarakan pelan-pelan.
39,2026-09-12,19:17 WIB,6,Tutup galon dan detail produk,Carousel Foto,Edukasi,Detail yang perlu diperhatikan saat memilih tutup galon.,"Kerapian bentuk, kecocokan, penyimpanan.",Simpan kalau suatu hari ingin mengeceknya lagi.
40,2026-09-13,19:17 WIB,6,Tutup galon dan detail produk,Single Foto,Human,Pengecekan sederhana sebelum barang berangkat.,Tangan memeriksa produk secara candid.,Begini kurang lebih keseharian kami.
41,2026-09-14,19:17 WIB,6,Tutup galon dan detail produk,Single Foto,Soft Sell,"Untuk kebutuhan rutin, ketersediaan itu menenangkan.",Dus polos dan stok siap kirim tanpa nomor kontak.,"Kalau waktunya tepat, mari bicarakan kebutuhannya."
42,2026-09-15,19:17 WIB,6,Tutup galon dan detail produk,Carousel Text Only,Text Only,SERING DIANGGAP / SEPELE. / PADAHAL DETAIL,4 slide tipografi cinematic minimalist; tanpa foto; logo identik di kanan bawah.,"Geser, lalu simpan bagian yang paling terasa."
43,2026-09-16,19:17 WIB,7,Kebersihan sebagai kebiasaan,Single Foto,Human,Bersih bukan acara. Ia kebiasaan.,Area kerja sedang dibersihkan.,Begini kurang lebih keseharian kami.
44,2026-09-17,19:17 WIB,7,Kebersihan sebagai kebiasaan,Carousel Foto,Edukasi,Rutinitas kecil sebelum mulai bekerja.,"Lap permukaan, cek alat, rapikan area.",Simpan kalau suatu hari ingin mengeceknya lagi.
45,2026-09-18,19:17 WIB,7,Kebersihan sebagai kebiasaan,Single Foto,Brand,Tempat kerja yang rapi membuat detail lebih mudah terlihat.,Wide shot area depot bersih.,Simpan sebagai pengingat kecil.
46,2026-09-19,19:17 WIB,7,Kebersihan sebagai kebiasaan,Carousel Foto,Edukasi,Empat titik yang sering terlupa saat merapikan depot.,"Sudut meja, keran, selang, penyimpanan.",Simpan kalau suatu hari ingin mengeceknya lagi.
47,2026-09-20,19:17 WIB,7,Kebersihan sebagai kebiasaan,Single Foto,Human,"Selesai bekerja, rapikan untuk hari berikutnya.",Teknisi menggulung selang.,Begini kurang lebih keseharian kami.
48,2026-09-21,19:17 WIB,7,Kebersihan sebagai kebiasaan,Single Foto,Soft Sell,Sistem yang rapi memudahkan kebiasaan baik bertahan.,Rak alat minimal dan teratur.,"Kalau waktunya tepat, mari bicarakan kebutuhannya."
49,2026-09-22,19:17 WIB,7,Kebersihan sebagai kebiasaan,Carousel Text Only,Text Only,BERSIH BUKAN / SEKADAR KELIHATAN. / BERSIH ADALAH,4 slide tipografi cinematic minimalist; tanpa foto; logo identik di kanan bawah.,"Geser, lalu simpan bagian yang paling terasa."
50,2026-09-23,19:17 WIB,8,Hari pemasangan,Single Foto,Human,Hari pemasangan selalu dimulai dari ruang yang sunyi.,Lokasi sebelum alat dibuka.,Begini kurang lebih keseharian kami.
51,2026-09-24,19:17 WIB,8,Hari pemasangan,Carousel Foto,Layanan,Satu hari pemasangan dalam empat momen.,"Persiapan, perakitan, pengujian, beres.",Ceritakan kondisi ruang dan kebutuhannya.
52,2026-09-25,19:17 WIB,8,Hari pemasangan,Single Foto,Human,Fokus pada sambungan yang tidak boleh asal.,Close-up pekerjaan teknisi.,Begini kurang lebih keseharian kami.
53,2026-09-26,19:17 WIB,8,Hari pemasangan,Carousel Foto,Edukasi,Apa yang diperiksa sebelum sistem dinyalakan.,"Pipa, kelistrikan, aliran, kebocoran.",Simpan kalau suatu hari ingin mengeceknya lagi.
54,2026-09-27,19:17 WIB,8,Hari pemasangan,Single Foto,Brand,Momen terbaik: ketika aliran pertama berjalan tenang.,Air pertama keluar setelah instalasi.,Simpan sebagai pengingat kecil.
55,2026-09-28,19:17 WIB,8,Hari pemasangan,Single Foto,Soft Sell,"Pemasangan selesai saat sistem sudah siap dipakai, bukan saat alat berdiri.",Teknisi melakukan uji akhir.,"Kalau waktunya tepat, mari bicarakan kebutuhannya."
56,2026-09-29,19:17 WIB,8,Hari pemasangan,Carousel Text Only,Text Only,PASANG. / UJI. / PERIKSA LAGI.,4 slide tipografi cinematic minimalist; tanpa foto; logo identik di kanan bawah.,"Geser, lalu simpan bagian yang paling terasa."
57,2026-09-30,19:17 WIB,9,Efisiensi usaha,Single Foto,Edukasi,Alur sederhana menghemat lebih dari sekadar waktu.,Jalur kerja dari pengisian ke penyimpanan.,Simpan kalau suatu hari ingin mengeceknya lagi.
58,2026-10-01,19:17 WIB,9,Efisiensi usaha,Carousel Foto,Edukasi,Tiga cara membuat area kerja lebih mengalir.,"Posisi alat, jalur operator, penyimpanan.",Simpan kalau suatu hari ingin mengeceknya lagi.
59,2026-10-02,19:17 WIB,9,Efisiensi usaha,Single Foto,Human,Gerakan berulang seharusnya terasa mudah.,Operator bekerja secara natural.,Begini kurang lebih keseharian kami.
60,2026-10-03,19:17 WIB,9,Efisiensi usaha,Carousel Foto,Layanan,"Sebelum menambah alat, lihat dulu alurnya.",Observasi titik macet dalam area kerja.,Ceritakan kondisi ruang dan kebutuhannya.
61,2026-10-04,19:17 WIB,9,Efisiensi usaha,Single Foto,Brand,Rapi membuat keputusan sehari-hari lebih cepat.,Detail label dan rak tersusun.,Simpan sebagai pengingat kecil.
62,2026-10-05,19:17 WIB,9,Efisiensi usaha,Single Foto,Soft Sell,Kadang peningkatan terbaik dimulai dari penataan ulang.,Sudut instalasi sebelum evaluasi.,"Kalau waktunya tepat, mari bicarakan kebutuhannya."
63,2026-10-06,19:17 WIB,9,Efisiensi usaha,Carousel Text Only,Text Only,BEKERJA LEBIH CEPAT / BUKAN BERARTI / TERGESA-GESA.,4 slide tipografi cinematic minimalist; tanpa foto; logo identik di kanan bawah.,"Geser, lalu simpan bagian yang paling terasa."
64,2026-10-07,19:17 WIB,10,Menjaga kepercayaan,Single Foto,Brand,Kepercayaan tumbuh dari hal yang dilakukan berulang.,Rutinitas operator membuka tempat usaha.,Simpan sebagai pengingat kecil.
65,2026-10-08,19:17 WIB,10,Menjaga kepercayaan,Carousel Foto,Brand,Yang membuat pelanggan kembali sering kali sederhana.,"Kebersihan, kerapian, pelayanan, konsistensi.",Simpan sebagai pengingat kecil.
66,2026-10-09,19:17 WIB,10,Menjaga kepercayaan,Single Foto,Human,Sapa yang hangat tetap bagian dari kualitas.,Interaksi natural tanpa pose berlebihan.,Begini kurang lebih keseharian kami.
67,2026-10-10,19:17 WIB,10,Menjaga kepercayaan,Carousel Foto,Edukasi,Tunjukkan proses tanpa harus bicara terlalu keras.,Detail tempat kerja yang transparan dan rapi.,Simpan kalau suatu hari ingin mengeceknya lagi.
68,2026-10-11,19:17 WIB,10,Menjaga kepercayaan,Single Foto,Produk,Kemasan yang rapi menutup proses dengan baik.,"Galon siap diserahkan, branding minimal.",Detail kebutuhannya bisa dibicarakan pelan-pelan.
69,2026-10-12,19:17 WIB,10,Menjaga kepercayaan,Single Foto,Soft Sell,Kualitas yang konsisten terasa sebelum dijelaskan.,"Pelanggan membawa galon, suasana candid.","Kalau waktunya tepat, mari bicarakan kebutuhannya."
70,2026-10-13,19:17 WIB,10,Menjaga kepercayaan,Carousel Text Only,Text Only,KEPERCAYAAN / TIDAK DATANG / DALAM SEHARI.,4 slide tipografi cinematic minimalist; tanpa foto; logo identik di kanan bawah.,"Geser, lalu simpan bagian yang paling terasa."
71,2026-10-14,19:17 WIB,11,Membaca tanda kecil,Single Foto,Edukasi,Perubahan suara adalah informasi.,Unit bekerja dengan fokus pada detail mesin.,Simpan kalau suatu hari ingin mengeceknya lagi.
72,2026-10-15,19:17 WIB,11,Membaca tanda kecil,Carousel Foto,Edukasi,Empat sinyal sistem perlu diperiksa.,"Suara, tekanan, aliran, sambungan.",Simpan kalau suatu hari ingin mengeceknya lagi.
73,2026-10-16,19:17 WIB,11,Membaca tanda kecil,Single Foto,Human,Teknisi yang teliti tidak hanya melihat.,Teknisi mendekat dan mengamati unit.,Begini kurang lebih keseharian kami.
74,2026-10-17,19:17 WIB,11,Membaca tanda kecil,Carousel Foto,Edukasi,Catat perubahan kecil sebelum menjadi pola.,Log sederhana dengan indikator visual.,Simpan kalau suatu hari ingin mengeceknya lagi.
75,2026-10-18,19:17 WIB,11,Membaca tanda kecil,Single Foto,Layanan,Pemeriksaan dimulai dari cerita pemiliknya.,Percakapan ringan di lokasi.,Ceritakan kondisi ruang dan kebutuhannya.
76,2026-10-19,19:17 WIB,11,Membaca tanda kecil,Single Foto,Soft Sell,"Lebih cepat ditemukan, lebih tenang ditangani.",Alat diagnostik dan sarung tangan.,"Kalau waktunya tepat, mari bicarakan kebutuhannya."
77,2026-10-20,19:17 WIB,11,Membaca tanda kecil,Carousel Text Only,Text Only,MESIN SELALU / MEMBERI TANDA. / PERTANYAANNYA:,4 slide tipografi cinematic minimalist; tanpa foto; logo identik di kanan bawah.,"Geser, lalu simpan bagian yang paling terasa."
78,2026-10-21,19:17 WIB,12,Peningkatan kecil,Single Foto,Brand,Tidak semua perubahan harus besar.,Satu komponen baru di meja kerja.,Simpan sebagai pengingat kecil.
79,2026-10-22,19:17 WIB,12,Peningkatan kecil,Carousel Foto,Edukasi,Tiga peningkatan kecil untuk alur yang lebih nyaman.,"Label, rak, posisi alat.",Simpan kalau suatu hari ingin mengeceknya lagi.
80,2026-10-23,19:17 WIB,12,Peningkatan kecil,Single Foto,Produk,Komponen sederhana bisa mengurangi kerepotan harian.,Detail fitting atau valve.,Detail kebutuhannya bisa dibicarakan pelan-pelan.
81,2026-10-24,19:17 WIB,12,Peningkatan kecil,Carousel Foto,Layanan,Evaluasi singkat sebelum memutuskan upgrade.,"Kondisi sekarang, kebutuhan, pilihan, hasil.",Ceritakan kondisi ruang dan kebutuhannya.
82,2026-10-25,19:17 WIB,12,Peningkatan kecil,Single Foto,Human,Rapi sedikit demi sedikit tetap sebuah kemajuan.,Operator menata ulang area.,Begini kurang lebih keseharian kami.
83,2026-10-26,19:17 WIB,12,Peningkatan kecil,Single Foto,Soft Sell,Mulai dari titik yang paling sering merepotkan.,Satu area kerja yang sedang dievaluasi.,"Kalau waktunya tepat, mari bicarakan kebutuhannya."
84,2026-10-27,19:17 WIB,12,Peningkatan kecil,Carousel Text Only,Text Only,TIDAK HARUS / BERUBAH BESAR. / CUKUP MULAI,4 slide tipografi cinematic minimalist; tanpa foto; logo identik di kanan bawah.,"Geser, lalu simpan bagian yang paling terasa."
85,2026-10-28,19:17 WIB,13,Bertumbuh bersama,Single Foto,Human,Setiap usaha punya tahapnya sendiri.,Pemilik berdiri di depan ruang usahanya.,Begini kurang lebih keseharian kami.
86,2026-10-29,19:17 WIB,13,Bertumbuh bersama,Carousel Foto,Brand,Dari rencana kecil menuju sistem yang berjalan.,"Sketsa, instalasi, operasi, perawatan.",Simpan sebagai pengingat kecil.
87,2026-10-30,19:17 WIB,13,Bertumbuh bersama,Single Foto,Layanan,Kami mulai dari mendengar kebutuhan di lapangan.,Diskusi santai dengan catatan kecil.,Ceritakan kondisi ruang dan kebutuhannya.
88,2026-10-31,19:17 WIB,13,Bertumbuh bersama,Carousel Foto,Edukasi,Pertanyaan yang membantu sebelum membuka depot.,"Lokasi, kapasitas, alur, perawatan.",Simpan kalau suatu hari ingin mengeceknya lagi.
89,2026-11-01,19:17 WIB,13,Bertumbuh bersama,Single Foto,Brand,Kerja baik terasa dari hubungan yang tetap terjaga.,Teknisi menyapa klien lama.,Simpan sebagai pengingat kecil.
90,2026-11-02,19:17 WIB,13,Bertumbuh bersama,Single Foto,Soft Sell,Bicarakan kebutuhannya dulu. Solusinya menyusul.,"Dua kursi dan meja diskusi, suasana hangat.","Kalau waktunya tepat, mari bicarakan kebutuhannya."
91,2026-11-03,19:17 WIB,13,Bertumbuh bersama,Carousel Text Only,Text Only,USAHA BERTUMBUH / DENGAN CARANYA. / SISTEM YANG BAIK,4 slide tipografi cinematic minimalist; tanpa foto; logo identik di kanan bawah.,"Geser, lalu simpan bagian yang paling terasa."
92,2026-11-04,19:17 WIB,14,Filosofi kerja Arga Tirta,Single Foto,Brand,"Kami menyukai pekerjaan yang hasilnya terasa, bukan berisik.",Teknisi berjalan meninggalkan instalasi selesai.,Simpan sebagai pengingat kecil.
93,2026-11-05,19:17 WIB,14,Filosofi kerja Arga Tirta,Carousel Foto,Brand,Empat kata yang menjaga cara kami bekerja.,"Teliti, rapi, tenang, konsisten.",Simpan sebagai pengingat kecil.
94,2026-11-06,19:17 WIB,14,Filosofi kerja Arga Tirta,Single Foto,Human,Tangan yang terbiasa tetap memeriksa dua kali.,Close-up tangan teknisi.,Begini kurang lebih keseharian kami.
95,2026-11-07,19:17 WIB,14,Filosofi kerja Arga Tirta,Carousel Foto,Brand,Seratus hari membicarakan detail yang sering luput.,Montase momen terbaik seri konten.,Simpan sebagai pengingat kecil.
96,2026-11-08,19:17 WIB,14,Filosofi kerja Arga Tirta,Single Foto,Produk,"Produk baik hadir untuk dipakai, bukan sekadar dipajang.",Tutup galon dalam penggunaan nyata.,Detail kebutuhannya bisa dibicarakan pelan-pelan.
97,2026-11-09,19:17 WIB,14,Filosofi kerja Arga Tirta,Single Foto,Soft Sell,"Saat waktunya merapikan sistem, kami siap mendengarkan.","Ruang konsultasi sederhana, tanpa kontak pada gambar.","Kalau waktunya tepat, mari bicarakan kebutuhannya."
98,2026-11-10,19:17 WIB,14,Filosofi kerja Arga Tirta,Carousel Text Only,Text Only,KERJA YANG BAIK / TIDAK HARUS / TERLIHAT RAMAI.,4 slide tipografi cinematic minimalist; tanpa foto; logo identik di kanan bawah.,"Geser, lalu simpan bagian yang paling terasa."
99,2026-11-11,19:17 WIB,15,Penutup 100 hari,Single Foto,Brand,"Seratus hari, satu benang merah: detail tetap penting.","Kolase halus dari mesin, tangan, dan produk.",Simpan sebagai pengingat kecil.
100,2026-11-12,19:17 WIB,15,Penutup 100 hari,Carousel Foto,Soft Sell,"Kalau ada satu bagian yang ingin dirapikan, mulai dari sana.","Ringkasan instalasi, perawatan, dan tutup galon.","Kalau waktunya tepat, mari bicarakan kebutuhannya."
